id	KL_value
2262	-36.21326475011679
2263	-34.970695140353925
2264	-41.810003332747556
2265	-11.811736572382852
2266	-17.719604706682784
2267	-14.339863949964075
2268	-42.51871956547964
2269	-41.459150212043156
2270	-34.190327991496986
2271	-22.941090326954114
2272	-20.30025138384351
2273	-33.32698386983062
2274	-13.145823232402353
2275	-33.408701287078586
2276	-43.28456451164308
2277	1.8234935351313615
2278	-41.09491378181631
2279	-43.992792664513004
2280	-38.9862144574366
2281	-29.827641241529026
2282	-51.20781120245735
2283	-14.847735619623155
2284	3.2666829543730085
2285	-13.834261902964341
2286	-31.730360723197798
2287	-29.510952559848278
2288	-53.02981968250626
2289	-46.16938492023547
2290	-47.57240636373591
2291	-14.86613069853929
2292	-65.38911806049398
2293	-45.36716277785085
2294	-15.60733756611272
2295	-8.486536128676871
2296	-25.786457954270958
2297	-9.514670577769289
2298	-33.19450246700492
2299	-27.98168772333216
2300	-17.836595331419147
2301	-39.316487766134294
2302	-17.572495265858315
2303	-25.835554594640012
2304	-55.08773308771608
2305	-27.292039387242212
2306	-40.150100557642816
2307	-26.791358241481326
2308	-30.07329467562826
2309	-29.282925775660445
2310	-34.911309357636604
2311	-33.054942695991045
2312	-17.1694348673109
2313	-6.28311823989365
2314	-35.18808844752672
2315	-36.63687313080884
2316	-19.52240651975899
2317	-30.05400182157885
2318	-30.374639393372085
2319	-1.2962185090757705
2320	-37.7992333835428
2321	-30.42833301730392
2322	-25.2278575414905
2323	-14.310588103171943
2324	-45.31440871632014
2325	-42.38046996606093
2326	-50.91405413910004
2327	-21.74393121730798
2328	-38.18046016102586
2329	-50.357916562766675
2330	-20.36379347494789
2331	-24.578315925625024
2332	-49.507955499529736
2333	-35.10761848639907
2334	-32.10977413386286
2335	-56.63501403113509
2336	-24.775164721078095
2337	9.141597605775466
2338	-29.268721795320754
2339	-47.624221257207196
2340	-32.46775598481611
2341	-20.90598933912714
2342	-27.172776773381553
2343	-5.022788666050374
2344	3.705832321453099
2345	-8.785115346829045
2346	-27.548305707926747
2347	-31.900284002403872
2348	-17.412170006015533
2349	-38.75193305606301
2350	-40.03183013497714
2351	4.71715871055993
2352	-16.36717685210229
2353	-34.13998109250521
2354	-31.394400119866063
2355	-41.53363620488439
2356	-72.03801837543591
2357	-18.05107277145149
2358	11.389326834914218
2359	-79.92766421126876
2360	-29.372369607282643
2361	-7.940282593051929
2362	-19.206593237403695
2363	-20.47965097302648
2364	-20.013093987972553
2365	-18.625892957831834
2366	-46.422496596215396
2367	-30.045336283793386
2368	-4.051085921480352
2369	-53.89455289822753
2370	-32.42833606132797
2371	-43.15656477496232
2372	-19.383742643345215
2373	9.847844612321536
2374	-28.91179059328507
2375	-38.92962972627484
2376	-36.69607689464904
2377	-14.610776506928186
2378	-41.99623472715761
2379	-44.238530094820014
2380	-15.205318210634264
2381	-37.32694812271177
2382	-36.30060112392262
2383	-50.98653098771272
2384	-22.936641537400288
2385	-55.66942408404424
2386	-42.70804002015667
2387	-19.710723399547216
2388	-6.400805663487544
2389	-46.36174339289059
2390	-35.37091914703417
2391	-40.666242853989864
2392	-35.337502882383916
2393	-25.000318717424822
2394	-15.624913297890988
2395	-54.4176380901613
2396	-26.26024364136634
2397	-2.081882993745931
2398	-27.783964655175467
2399	-7.492180348245791
2400	-19.508725172586303
2401	-63.18237805866254
2402	-28.389396188458065
2403	-45.00723671834541
2404	-60.5882658341641
2405	-29.862664443555
2406	-43.100608184857606
2407	-49.1281400822393
2408	-45.52776733983708
2409	-31.435028462165278
2410	-14.054088928640194
2411	-44.031825541992774
2412	-51.043529727443726
2413	-17.684058223092464
2414	-27.10999581132802
2415	-23.50236526481749
2416	-64.23218170090318
2417	-46.877676047691466
2418	6.760065652016367
2419	-31.05213405509464
2420	-28.871747621846367
2421	-18.002966439702412
2422	-17.613615895017738
2423	-58.45403867153104
2424	-33.097993940121526
2425	-24.866795938830897
2426	-12.391832506678726
2427	-42.84909173471658
2428	-50.78625469075665
2429	-30.362999688905894
2430	-38.70002334571559
2431	-33.16202305130359
2432	-27.593880037509027
2433	-21.70916520076308
2434	-27.419151577026845
2435	-55.689886745379795
2436	-24.711623024242986
2437	-46.027501408363506
2438	-34.464466676466316
2439	-10.612471095945526
2440	-49.22101730421721
2441	-32.80227282578353
2442	-56.295935137574446
2443	-49.79971243532029
2444	-11.830013879823092
2445	-62.78011398366126
2446	-22.778497504026554
2447	-20.648368780331865
2448	-39.669249464400856
2449	-25.53297869441315
2450	-34.47863979149459
2451	-28.16649493614073
2452	-31.170358061647104
2453	-33.87137364600954
2454	-42.82705683821789
2455	-55.46727301470901
2456	-11.646307005915927
2457	-30.651931471145918
2458	-44.50047581075779
2459	-6.492281846533185
2460	-20.18359955017009
2461	-32.97178075060356
2462	-8.167743946819133
2463	-60.39196507905376
2464	-13.758489954780252
2465	11.27375033204316
2466	-33.32284367220335
2467	0.39396133930693367
2468	-5.853788113973113
2469	-38.580880756053446
2470	-6.837663383847019
2471	-23.744499342618887
2472	4.922097473934725
2473	-17.82448426480166
2474	-28.907263421772942
2475	-26.838067195267726
2476	-42.58046962711052
2477	-38.110376085714705
2478	-13.168035486142262
2479	-1.7067320153810623
2480	-36.625793091872154
2481	-26.07320973073388
2482	-36.37073359652194
2483	-7.24992995707521
2484	-15.898171461067603
2485	1.9947607334372561
2486	5.9143092635373655
2487	-41.91173526396648
2488	-47.7966754808118
2489	27.624091098189577
2490	-13.789853712342495
2491	-45.0226739148402
2492	-7.853272235627655
2493	-0.9910589021582488
2494	-28.988698670401615
2495	1.2475413626628344
2496	-44.71959208785631
